ZONE,PURPOSE,PRICE,QTY
BSP,BID,0.00,0
BSP,OFF,0.00,0
CALA,BID,101.86,0.001
CALA,BID,105.32,0.512
CALA,BID,106.82,0.234
CALA,BID,-11.00,1
CALA,BID,121.82,0.005
CALA,BID,125.68,45.37
CALA,BID,127.82,0.519
CALA,BID,131.82,0.7
CALA,BID,136.82,0.669
CALA,BID,141.82,0.3
CALA,BID,147.50,0.403
CALA,BID,155.80,0.3
CALA,BID,156.63,0.664
CALA,BID,176.63,0.668
CALA,BID,178.87,0.403
CALA,BID,186.82,5.92
CALA,BID,189.55,0.805
CALA,BID,200.00,0.245
CALA,BID,210.00,0.37
CALA,BID,256.63,0.003
CALA,BID,287.63,0.003
CALA,BID,-30.00,5
CALA,BID,35.47,119.9
CALA,BID,36.82,1.4
CALA,BID,4000.00,0.358
CALA,BID,-499.00,0.003
CALA,BID,500.00,2.492
CALA,BID,56.80,0.3
CALA,BID,71.82,1.71
CALA,BID,86.63,0.001
CALA,BID,86.82,5
CALA,BID,94.82,3.352
CALA,BID,96.82,9
CALA,OFF,0.00,-3.173
CALA,OFF,1.00,-0.03
CALA,OFF,10.00,-0.01
CALA,OFF,106.82,-0.81
CALA,OFF,108.32,-0.511
CALA,OFF,112.62,-0.825
CALA,OFF,114.67,-0.825
CALA,OFF,116.82,-9.019
CALA,OFF,117.79,-0.821
CALA,OFF,118.82,-3.883
CALA,OFF,126.82,-6.63
CALA,OFF,156.80,-0.7
CALA,OFF,166.82,-4.43
CALA,OFF,184.82,-2.455
CALA,OFF,243.00,-202
CALA,OFF,406.82,-5
CALA,OFF,61.82,-0.59
CALA,OFF,890.00,-1
CNOR,BID,1.01,195
CNOR,BID,101.82,6.475
CNOR,BID,103.82,0.007
CNOR,BID,105.32,1.675
CNOR,BID,106.44,2.273
CNOR,BID,106.52,2.615
CNOR,BID,106.82,0.068
CNOR,BID,-11.00,1
CNOR,BID,11.11,20
CNOR,BID,121.82,2.029
CNOR,BID,136.73,0.104
CNOR,BID,136.82,10.083
CNOR,BID,141.82,0.1
CNOR,BID,147.50,0.191
CNOR,BID,154.91,25.1
CNOR,BID,155.80,3.1
CNOR,BID,156.63,9.136
CNOR,BID,162.23,0.105
CNOR,BID,176.63,9.14
CNOR,BID,178.87,0.192
CNOR,BID,186.82,8.696
CNOR,BID,189.55,0.382
CNOR,BID,200.00,0.03
CNOR,BID,215.00,30
CNOR,BID,-30.00,9
CNOR,BID,300.00,0.266
CNOR,BID,36.82,0.2
CNOR,BID,4000.00,0.001
CNOR,BID,456.82,2
CNOR,BID,-499.00,0.003
CNOR,BID,500.00,1.481
CNOR,BID,56.80,4.3
CNOR,BID,63.85,121
CNOR,BID,71.82,0.39
CNOR,BID,74.78,20
CNOR,BID,94.82,4.965
CNOR,BID,96.82,6.521
CNOR,BID,9999.00,0.81
CNOR,OFF,0.00,-4.233
CNOR,OFF,-1.00,-0.1
CNOR,OFF,10.00,-164.22
CNOR,OFF,103.82,-3.77
CNOR,OFF,107.12,-1.2
CNOR,OFF,108.32,-1.675
CNOR,OFF,111.82,-6.476
CNOR,OFF,112.28,-0.429
CNOR,OFF,114.63,-0.429
CNOR,OFF,116.82,-6.521
CNOR,OFF,117.77,-0.429
CNOR,OFF,118.82,-12.911
CNOR,OFF,136.82,-0.483
CNOR,OFF,156.80,-8.7
CNOR,OFF,166.82,-70.676
CNOR,OFF,184.82,-1.153
CNOR,OFF,406.82,-9
CNOR,OFF,5.00,-0.763
CNOR,OFF,71.82,-0.9
CNOR,OFF,-9999.00,-0.81
CSUD,BID,100.82,0.128
CSUD,BID,101.51,9.405
CSUD,BID,101.62,0.001
CSUD,BID,101.82,5.265
CSUD,BID,102.82,9.405
CSUD,BID,104.63,9.405
CSUD,BID,105.32,0.503
CSUD,BID,106.32,9.996
CSUD,BID,106.44,1.549
CSUD,BID,106.52,3.048
CSUD,BID,106.82,0.002
CSUD,BID,-11.00,1
CSUD,BID,117.93,0.05
CSUD,BID,119.93,0.05
CSUD,BID,121.82,0.77
CSUD,BID,121.93,0.05
CSUD,BID,123.93,0.05
CSUD,BID,131.82,2.5
CSUD,BID,136.82,17.724
CSUD,BID,141.82,0.1
CSUD,BID,147.50,2.109
CSUD,BID,150.00,0.075
CSUD,BID,155.80,5.8
CSUD,BID,156.63,1.798
CSUD,BID,176.63,1.804
CSUD,BID,178.87,2.11
CSUD,BID,186.82,8.123
CSUD,BID,189.55,4.219
CSUD,BID,200.00,0.949
CSUD,BID,210.00,0.15
CSUD,BID,256.63,0.21
CSUD,BID,256.82,0.134
CSUD,BID,286.10,1.6
CSUD,BID,287.63,0.211
CSUD,BID,287.82,0.134
CSUD,BID,288.70,14.97
CSUD,BID,-30.00,12
CSUD,BID,300.00,8.021
CSUD,BID,306.82,0.107
CSUD,BID,36.82,0.2
CSUD,BID,400.00,0.828
CSUD,BID,4000.00,0.468
CSUD,BID,44.15,354.8
CSUD,BID,-499.00,0.003
CSUD,BID,500.00,3.566
CSUD,BID,66.82,10
CSUD,BID,69.82,20
CSUD,BID,71.82,6.7
CSUD,BID,76.00,174
CSUD,BID,76.82,12.309
CSUD,BID,80.82,14
CSUD,BID,81.82,10.691
CSUD,BID,91.82,5
CSUD,BID,911.00,24.6
CSUD,BID,94.82,114.779
CSUD,BID,9999.00,1.62
CSUD,OFF,0.00,-7.599
CSUD,OFF,0.01,-0.046
CSUD,OFF,1.00,-0.06
CSUD,OFF,-1.00,-0.1
CSUD,OFF,106.44,-1.604
CSUD,OFF,106.82,-32.138
CSUD,OFF,107.12,-1.4
CSUD,OFF,107.32,-25
CSUD,OFF,108.32,-0.503
CSUD,OFF,109.82,-0.02
CSUD,OFF,111.82,-4.407
CSUD,OFF,112.00,-105.7
CSUD,OFF,112.82,-0.186
CSUD,OFF,116.82,-0.155
CSUD,OFF,118.82,-120.792
CSUD,OFF,126.82,-3.56
CSUD,OFF,136.82,-21.808
CSUD,OFF,146.82,-0.4
CSUD,OFF,156.80,-6.4
CSUD,OFF,156.82,-25
CSUD,OFF,166.82,-68.59
CSUD,OFF,167.16,-0.001
